    DATE,remainder
1929-09-02,-21.118886633473153
1929-09-03,-44.11905871955048
1929-09-04,-22.119230805627808
1929-09-05,-1.1194028917051355
1929-09-06,-79.11957497778246
1929-09-07,-98.11974706385979
1929-09-08,-87.11991914993712
1929-09-09,-27.120091236014446
1929-09-10,-87.12026332209177
1929-09-11,-112.1204354081691
1929-09-12,-56.12060749424643
1929-09-13,-46.120779580323756
1929-09-14,-50.12095166640108
1929-09-15,-44.12112375247841
1929-09-16,-62.12129583855574
1929-09-17,-82.12146792463307
1929-09-18,-74.1216400107104
1929-09-19,-62.12181209678772
1929-09-20,-91.12198418286505
1929-09-21,-122.12215626894238
1929-09-22,-133.1223283550197
1929-09-23,-142.12250044109703
1929-09-24,-124.12267252717436
1929-09-25,-138.1228446132517
1929-09-26,-139.123016699329
1929-09-27,-118.12318878540634
1929-09-28,-108.12336087148367
1929-09-29,-100.123532957561
1929-09-30,-68.12370504363832
1929-10-01,-60.95981462971565
1929-10-02,-54.95998671579298
1929-10-03,-61.96015880187031
1929-10-04,-27.960330887947634
1929-10-05,-37.96050297402496
1929-10-06,-40.96067506010229
1929-10-07,-60.96084714617962
1929-10-08,-27.961019232256945
1929-10-09,-70.96119131833427
1929-10-10,-86.9613634044116
1929-10-11,-74.96153549048893
1929-10-12,-85.96170757656625
1929-10-13,-60.96187966264358
1929-10-14,-61.96205174872091
1929-10-15,-84.96222383479824
1929-10-16,-96.96239592087557
1929-10-17,-84.96256800695289
1929-10-18,-72.96274009303022
1929-10-19,-84.96291217910755
1929-10-20,-103.96308426518488
1929-10-21,-123.96325635126219
1929-10-22,-126.96342843733952
1929-10-23,-121.96360052341684
1929-10-24,-97.96377260949417
1929-10-25,-85.9639446955715
1929-10-26,-105.96411678164883
1929-10-27,-133.96428886772617
1929-10-28,-133.9644609538035
1929-10-29,-106.96463303988081
1929-10-30,-89.96480512595814
1929-10-31,-109.96497721203546
1929-11-01,-50.39312781373779
1929-11-02,-105.39329989981512
1929-11-03,-98.39347198589245
1929-11-04,-74.39364407196977
1929-11-05,-91.3938161580471
1929-11-06,-98.39398824412443
1929-11-07,-85.39416033020176
1929-11-08,-68.39433241627908
1929-11-09,-78.39450450235641
1929-11-10,-82.39467658843374
1929-11-11,-82.39484867451107
1929-11-12,-64.3950207605884
1929-11-13,-94.39519284666572
1929-11-14,-95.39536493274305
1929-11-15,-92.39553701882038
1929-11-16,-102.3957091048977
1929-11-17,-81.39588119097503
1929-11-18,-94.39605327705236
1929-11-19,-99.39622536312969
1929-11-20,-90.39639744920702
1929-11-21,-78.39656953528434
1929-11-22,-74.39674162136167
1929-11-23,-74.396913707439
1929-11-24,-71.39708579351633
1929-11-25,-74.39725787959365
1929-11-26,-76.39742996567098
1929-11-27,-68.39760205174831
1929-11-28,-98.39777413782564
1929-11-29,-41.39794622390296
1929-11-30,-48.39811830998029
1929-12-01,-26.604833364807618
1929-12-02,-34.605005450884946
1929-12-03,-40.60517753696227
1929-12-04,-23.6053496230396
1929-12-05,-14.605521709116928
1929-12-06,-30.605693795194256
1929-12-07,-32.60586588127158
1929-12-08,-31.60603796734891
1929-12-09,-44.60621005342624
1929-12-10,-42.606382139503566
1929-12-11,-50.606554225580894
1929-12-12,-34.60672631165822
1929-12-13,-41.60689839773555
1929-12-14,-9.607070483812876
1929-12-15,-32.607242569890204
1929-12-16,-67.60741465596753
1929-12-17,-89.60758674204484
1929-12-18,-111.60775882812217
1929-12-19,-127.6079309141995
1929-12-20,-138.60810300027683
1929-12-21,-137.60827508635415
1929-12-22,-118.60844717243148
1929-12-23,-142.6086192585088
1929-12-24,-171.60879134458614
1929-12-25,-79.60896343066347
1929-12-26,-70.60913551674079
1929-12-27,-86.60930760281812
1929-12-28,-79.60947968889545
1929-12-29,-42.609651774972775
1929-12-30,-42.6098238610501
1929-12-31,-52.60999594712743
1930-01-01,-51.69634967382976
1930-01-02,-38.696521759907085
1930-01-03,-21.696693845984413
1930-01-04,-9.69686593206174
1930-01-05,-68.69703801813907
1930-01-06,-45.697210104216396
1930-01-07,-63.69738219029372
1930-01-08,-84.69755427637105
1930-01-09,-70.69772636244838
1930-01-10,-86.6978984485257
1930-01-11,-74.69807053460303
1930-01-12,-68.69824262068036
1930-01-13,-40.69841470675769
1930-01-14,-30.698586792835016
1930-01-15,-19.698758878912344
1930-01-16,-57.69893096498967
1930-01-17,-111.699103051067
1930-01-18,-81.69927513714433
1930-01-19,-51.699447223221654
1930-01-20,-37.69961930929898
1930-01-21,-58.69979139537631
1930-01-22,-74.69996348145364
1930-01-23,-92.70013556753096
1930-01-24,-97.70030765360829
1930-01-25,-99.70047973968562
1930-01-26,-102.70065182576295
1930-01-27,-91.70082391184027
1930-01-28,-77.7009959979176
1930-01-29,-81.70116808399493
1930-01-30,-84.70134017007226
1930-01-31,-92.70151225614958
1930-02-01,-115.30104957660191
1930-02-02,-103.30122166267924
1930-02-03,-90.30139374875657
1930-02-04,-92.3015658348339
1930-02-05,-63.30173792091122
1930-02-06,-91.30191000698855
1930-02-07,-95.30208209306588
1930-02-08,-126.3022541791432
1930-02-09,-128.30242626522053
1930-02-10,-107.30259835129786
1930-02-11,-90.30277043737519
1930-02-12,-98.30294252345251
1930-02-13,-102.30311460952984
1930-02-14,-108.30328669560717
1930-02-15,-66.3034587816845
1930-02-16,-90.30363086776181
1930-02-17,-95.30380295383914
1930-02-18,-96.30397503991647
1930-02-19,-99.3041471259938
1930-02-20,-98.30431921207112
1930-02-21,-81.30449129814845
1930-02-22,-94.30466338422578
1930-02-23,-88.3048354703031
1930-02-24,-106.30500755638043
1930-02-25,-93.30517964245776
1930-02-26,-82.30535172853509
1930-02-27,-68.30552381461241
1930-02-28,-55.30569590068974
1930-03-01,-137.85347540864205
1930-03-02,-132.85364749471938
1930-03-03,-109.85381958079672
1930-03-04,-85.85399166687405
1930-03-05,-78.85416375295138
1930-03-06,-94.8543358390287
1930-03-07,-90.85450792510603
1930-03-08,-76.85468001118336
1930-03-09,-62.85485209726069
1930-03-10,-40.85502418333802
1930-03-11,-106.85519626941534
1930-03-12,-130.85536835549266
1930-03-13,-140.85554044156999
1930-03-14,-124.85571252764733
1930-03-15,-114.85588461372465
1930-03-16,-132.85605669980197
1930-03-17,-86.85622878587931
1930-03-18,-65.85640087195664
1930-03-19,-76.85657295803396
1930-03-20,-105.85674504411129
1930-03-21,-92.85691713018862
1930-03-22,-90.85708921626595
1930-03-23,-77.85726130234328
1930-03-24,-69.8574333884206
1930-03-25,-88.85760547449793
1930-03-26,-76.85777756057526
1930-03-27,-88.85794964665259
1930-03-28,-63.85812173272991
1930-03-29,-32.85829381880724
1930-03-30,-41.85846590488457
1930-03-31,-42.858637990961896
1930-04-01,-95.27629054578922
1930-04-02,-120.27646263186655
1930-04-03,-155.27663471794386
1930-04-04,-126.2768068040212
1930-04-05,-105.27697889009853
1930-04-06,-87.27715097617586
1930-04-07,-94.27732306225319
1930-04-08,-99.27749514833052
1930-04-09,-88.27766723440784
1930-04-10,-90.27783932048517
1930-04-11,-78.2780114065625
1930-04-12,-81.27818349263983
1930-04-13,-83.27835557871715
1930-04-14,-101.27852766479447
1930-04-15,-95.2786997508718
1930-04-16,-86.27887183694912
1930-04-17,-95.27904392302645
1930-04-18,-113.27921600910378
1930-04-19,-106.2793880951811
1930-04-20,-97.27956018125843
1930-04-21,-74.27973226733576
1930-04-22,-98.27990435341309
1930-04-23,-46.280076439490415
1930-04-24,-23.280248525567742
1930-04-25,-20.28042061164507
1930-04-26,-16.280592697722398
1930-04-27,-14.280764783799725
1930-04-28,-24.280936869877053
1930-04-29,-50.28110895595438
1930-04-30,-102.28128104203171
1930-05-01,-107.71797656560904
1930-05-02,-85.71814865168636
1930-05-03,-78.71832073776369
1930-05-04,-64.71849282384102
1930-05-05,-96.71866490991835
1930-05-06,-100.71883699599567
1930-05-07,-90.719009082073
1930-05-08,-150.71918116815033
1930-05-09,-164.71935325422766
1930-05-10,-137.71952534030498
1930-05-11,-130.7196974263823
1930-05-12,-125.71986951245964
1930-05-13,-127.72004159853697
1930-05-14,-123.7202136846143
1930-05-15,-118.72038577069162
1930-05-16,-118.72055785676895
1930-05-17,-80.72072994284628
1930-05-18,-51.720902028923604
1930-05-19,-128.72107411500093
1930-05-20,-106.72124620107826
1930-05-21,-105.72141828715559
1930-05-22,-89.72159037323291
1930-05-23,-63.72176245931024
1930-05-24,-61.72193454538757
1930-05-25,-89.7221066314649
1930-05-26,-76.72227871754222
1930-05-27,-79.72245080361955
1930-05-28,-60.72262288969688
1930-05-29,-49.72279497577421
1930-05-30,-61.722967061851534
1930-05-31,-51.72313914792886
1930-06-01,-76.44010810900619
1930-06-02,-81.44028019508352
1930-06-03,-112.44045228116084
1930-06-04,-128.44062436723817
1930-06-05,-106.4407964533155
1930-06-06,-92.44096853939283
1930-06-07,-72.44114062547015
1930-06-08,-98.44131271154748
1930-06-09,-120.44148479762481
1930-06-10,-72.44165688370214
1930-06-11,-52.441828969779465
1930-06-12,-7.442001055856792
1930-06-13,-7.442173141934106
1930-06-14,-11.442345228011433
1930-06-15,-70.44251731408876
1930-06-16,-68.44268940016609
1930-06-17,-51.442861486243416
1930-06-18,-42.44303357232074
1930-06-19,-32.44320565839807
1930-06-20,-32.4433777444754
1930-06-21,-75.44354983055273
1930-06-22,-52.443721916630054
1930-06-23,-26.44389400270738
1930-06-24,-48.44406608878471
1930-06-25,-75.44423817486204
1930-06-26,-100.44441026093936
1930-06-27,-77.44458234701669
1930-06-28,-68.44475443309402
1930-06-29,-76.44492651917135
1930-06-30,-60.445098605248674
1930-07-01,-70.341999206951
1930-07-02,-58.34217129302833
1930-07-03,-32.34234337910566
1930-07-04,-20.342515465182984
1930-07-05,-49.34268755126031
1930-07-06,-88.34285963733764
1930-07-07,-88.34303172341497
1930-07-08,-120.3432038094923
1930-07-09,-106.34337589556962
1930-07-10,-129.34354798164696
1930-07-11,-128.3437200677243
1930-07-12,-146.34389215380162
1930-07-13,-116.34406423987893
1930-07-14,-108.34423632595626
1930-07-15,-116.34440841203359
1930-07-16,-110.34458049811091
1930-07-17,-100.34475258418824
1930-07-18,-105.34492467026557
1930-07-19,-114.3450967563429
1930-07-20,-114.34526884242023
1930-07-21,-92.34544092849755
1930-07-22,-114.34561301457488
1930-07-23,-112.34578510065221
1930-07-24,-137.34595718672955
1930-07-25,-141.34612927280688
1930-07-26,-120.34630135888419
1930-07-27,-106.34647344496152
1930-07-28,-116.34664553103885
1930-07-29,-105.34681761711617
1930-07-30,-117.3469897031935
1930-07-31,-134.34716178927084
1930-08-01,-126.33781239097316
1930-08-02,-77.33798447705048
1930-08-03,-96.33815656312781
1930-08-04,-83.33832864920514
1930-08-05,-87.33850073528247
1930-08-06,-128.3386728213598
1930-08-07,-118.33884490743712
1930-08-08,-118.33901699351445
1930-08-09,-122.33918907959176
1930-08-10,-116.33936116566909
1930-08-11,-93.33953325174642
1930-08-12,-97.33970533782374
1930-08-13,-128.33987742390107
1930-08-14,-143.3400495099784
1930-08-15,-148.34022159605573
1930-08-16,-141.34039368213305
1930-08-17,-125.34056576821038
1930-08-18,-115.34073785428771
1930-08-19,-104.34090994036504
1930-08-20,-122.34108202644236
1930-08-21,-100.34125411251969
1930-08-22,-84.34142619859702
1930-08-23,-112.34159828467435
1930-08-24,-102.34177037075168
1930-08-25,-120.341942456829
1930-08-26,-110.34211454290633
1930-08-27,-73.34228662898366
1930-08-28,-64.34245871506099
1930-08-29,-100.34263080113831
1930-08-30,-84.34280288721564
1930-08-31,-80.34297497329297
1930-09-01,-79.1815259656203
1930-09-02,-98.18169805169762
1930-09-03,-114.18187013777495
1930-09-04,-123.18204222385228
1930-09-05,-100.1822143099296
1930-09-06,-93.18238639600693
1930-09-07,-95.18255848208426
1930-09-08,-102.18273056816159
1930-09-09,-101.18290265423892
1930-09-10,-98.18307474031624
1930-09-11,-97.18324682639357
1930-09-12,-93.1834189124709
1930-09-13,-80.18359099854823
1930-09-14,-78.18376308462555
1930-09-15,-86.18393517070288
1930-09-16,-111.18410725678021
1930-09-17,-99.18427934285754
1930-09-18,-93.18445142893486
1930-09-19,-85.18462351501219
1930-09-20,-90.18479560108952
1930-09-21,-96.18496768716685
1930-09-22,-90.18513977324417
1930-09-23,-105.1853118593215
1930-09-24,-98.18548394539883
1930-09-25,-116.18565603147616
1930-09-26,-121.18582811755348
1930-09-27,-126.18600020363081
1930-09-28,-130.18617228970814
1930-09-29,-96.18634437578547
1930-09-30,-103.1865164618628
1930-10-01,-101.02262604794012
1930-10-02,-138.02279813401745
1930-10-03,-126.02297022009478
1930-10-04,-96.0231423061721
1930-10-05,-58.02331439224943
1930-10-06,-91.02348647832676
1930-10-07,-91.02365856440409
1930-10-08,-76.02383065048141
1930-10-09,-84.02400273655873
1930-10-10,-95.02417482263606
1930-10-11,-103.02434690871338
1930-10-12,-92.02451899479071
1930-10-13,-97.02469108086804
1930-10-14,-88.02486316694537
1930-10-15,-81.0250352530227
1930-10-16,-63.02520733910002
1930-10-17,-72.02537942517735
1930-10-18,-69.02555151125468
1930-10-19,-64.025723597332
1930-10-20,-88.02589568340933
1930-10-21,-82.02606776948666
1930-10-22,-92.02623985556399
1930-10-23,-92.02641194164131
1930-10-24,-114.02658402771864
1930-10-25,-128.02675611379595
1930-10-26,-130.02692819987328
1930-10-27,-112.02710028595062
1930-10-28,-122.02727237202795
1930-10-29,-97.02744445810528
1930-10-30,-64.0276165441826
1930-10-31,-93.02778863025993
1930-11-01,-85.45593923196226
1930-11-02,-25.45611131803959
1930-11-03,-38.45628340411692
1930-11-04,-66.45645549019424
1930-11-05,-101.45662757627157
1930-11-06,-108.4567996623489
1930-11-07,-106.45697174842623
1930-11-08,-68.45714383450355
1930-11-09,-32.45731592058088
1930-11-10,-45.45748800665821
1930-11-11,-76.45766009273554
1930-11-12,-83.45783217881286
1930-11-13,-60.45800426489019
1930-11-14,-70.45817635096752
1930-11-15,-60.45834843704485
1930-11-16,-110.45852052312217
1930-11-17,-130.4586926091995
1930-11-18,-126.45886469527683
1930-11-19,-134.45903678135414
1930-11-20,-132.45920886743147
1930-11-21,-55.45938095350881
1930-11-22,-12.45955303958614
1930-11-23,-64.45972512566347
1930-11-24,-87.4598972117408
1930-11-25,-69.46006929781812
1930-11-26,-49.46024138389545
1930-11-27,-52.46041346997278
1930-11-28,-69.4605855560501
1930-11-29,-77.46075764212743
1930-11-30,-66.46092972820476
1930-12-01,-46.66764478303209
1930-12-02,-63.667816869109416
1930-12-03,-95.66798895518674
1930-12-04,-129.66816104126406
1930-12-05,-127.66833312734138
1930-12-06,-101.66850521341871
1930-12-07,-94.66867729949604
1930-12-08,-66.66884938557337
1930-12-09,-86.6690214716507
1930-12-10,-85.66919355772802
1930-12-11,-85.66936564380535
1930-12-12,-83.66953772988268
1930-12-13,-84.66970981596
1930-12-14,-76.66988190203733
1930-12-15,-69.67005398811466
1930-12-16,-122.67022607419199
1930-12-17,-127.67039816026931
1930-12-18,-112.67057024634664
1930-12-19,-97.67074233242397
1930-12-20,-92.6709144185013
1930-12-21,-112.67108650457862
1930-12-22,-85.67125859065595
1930-12-23,-113.67143067673328
1930-12-24,-126.67160276281061
1930-12-25,-130.67177484888794
1930-12-26,-121.67194693496526
1930-12-27,-123.67211902104259
1930-12-28,-91.67229110711992
