,    DATE,remainder,lag1
396,1877-01-31,-61.370442057324894,-47.370269971247566
397,1877-02-01,-83.96997937777722,-61.370442057324894
398,1877-02-02,-86.97015146385455,-83.96997937777722
399,1877-02-03,-88.97032354993188,-86.97015146385455
400,1877-02-04,-66.9704956360092,-88.97032354993188
401,1877-02-05,-60.97066772208653,-66.9704956360092
402,1877-02-06,-45.97083980816386,-60.97066772208653
403,1877-02-07,-19.971011894241187,-45.97083980816386
404,1877-02-08,-32.971183980318514,-19.971011894241187
405,1877-02-09,-40.97135606639584,-32.971183980318514
406,1877-02-10,-49.97152815247317,-40.97135606639584
407,1877-02-11,-58.9717002385505,-49.97152815247317
408,1877-02-12,-72.97187232462782,-58.9717002385505
409,1877-02-13,-99.97204441070517,-72.97187232462782
410,1877-02-14,-111.97221649678248,-99.97204441070517
411,1877-02-15,-56.97238858285981,-111.97221649678248
412,1877-02-16,-27.97256066893713,-56.97238858285981
413,1877-02-17,-32.97273275501446,-27.97256066893713
414,1877-02-18,-52.97290484109179,-32.97273275501446
415,1877-02-19,-28.97307692716912,-52.97290484109179
416,1877-02-20,-37.973249013246445,-28.97307692716912
417,1877-02-21,-41.97342109932377,-37.973249013246445
418,1877-02-22,-66.9735931854011,-41.97342109932377
419,1877-02-23,-70.97376527147843,-66.9735931854011
420,1877-02-24,-74.97393735755576,-70.97376527147843
421,1877-02-25,-39.97410944363308,-74.97393735755576
422,1877-02-26,-69.97428152971041,-39.97410944363308
423,1877-02-27,-82.97445361578774,-69.97428152971041
424,1877-02-28,-121.97462570186508,-82.97445361578774
425,1877-03-01,-167.5224052098174,-121.97462570186508
426,1877-03-02,-158.5225772958947,-167.5224052098174
427,1877-03-03,-137.52274938197206,-158.5225772958947
428,1877-03-04,-114.52292146804938,-137.52274938197206
429,1877-03-05,-99.5230935541267,-114.52292146804938
430,1877-03-06,-106.52326564020404,-99.5230935541267
431,1877-03-07,-113.52343772628136,-106.52326564020404
432,1877-03-08,-120.52360981235869,-113.52343772628136
433,1877-03-09,-154.52378189843603,-120.52360981235869
434,1877-03-10,-164.52395398451335,-154.52378189843603
435,1877-03-11,-140.52412607059068,-164.52395398451335
436,1877-03-12,-113.524298156668,-140.52412607059068
437,1877-03-13,-104.52447024274532,-113.524298156668
438,1877-03-14,-82.52464232882265,-104.52447024274532
439,1877-03-15,-93.52481441489998,-82.52464232882265
440,1877-03-16,-84.5249865009773,-93.52481441489998
441,1877-03-17,-90.52515858705462,-84.5249865009773
442,1877-03-18,-87.52533067313195,-90.52515858705462
443,1877-03-19,-82.52550275920927,-87.52533067313195
444,1877-03-20,-97.5256748452866,-82.52550275920927
445,1877-03-21,-84.52584693136393,-97.5256748452866
446,1877-03-22,-76.52601901744126,-84.52584693136393
447,1877-03-23,-97.52619110351858,-76.52601901744126
448,1877-03-24,-97.52636318959593,-97.52619110351858
449,1877-03-25,-54.52653527567324,-97.52636318959593
450,1877-03-26,-36.52670736175057,-54.52653527567324
451,1877-03-27,-28.52687944782789,-36.52670736175057
452,1877-03-28,-36.52705153390522,-28.52687944782789
453,1877-03-29,-38.52722361998255,-36.52705153390522
454,1877-03-30,-47.52739570605988,-38.52722361998255
455,1877-03-31,-46.527567792137205,-47.52739570605988
456,1877-04-01,-102.94522034696452,-46.527567792137205
457,1877-04-02,-117.94539243304186,-102.94522034696452
458,1877-04-03,-110.9455645191192,-117.94539243304186
459,1877-04-04,-90.94573660519652,-110.9455645191192
460,1877-04-05,-95.94590869127384,-90.94573660519652
461,1877-04-06,-76.94608077735117,-95.94590869127384
462,1877-04-07,-67.9462528634285,-76.94608077735117
463,1877-04-08,-56.94642494950583,-67.9462528634285
464,1877-04-09,-29.946597035583157,-56.94642494950583
465,1877-04-10,-9.94676912166048,-29.946597035583157
466,1877-04-11,-25.946941207737808,-9.94676912166048
467,1877-04-12,-99.94711329381514,-25.946941207737808
468,1877-04-13,-104.94728537989246,-99.94711329381514
469,1877-04-14,-120.9474574659698,-104.94728537989246
470,1877-04-15,-151.94762955204712,-120.9474574659698
471,1877-04-16,-137.94780163812445,-151.94762955204712
472,1877-04-17,-133.94797372420177,-137.94780163812445
473,1877-04-18,-136.9481458102791,-133.94797372420177
474,1877-04-19,-111.94831789635644,-136.9481458102791
475,1877-04-20,-134.94848998243376,-111.94831789635644
476,1877-04-21,-159.94866206851108,-134.94848998243376
477,1877-04-22,-154.9488341545884,-159.94866206851108
478,1877-04-23,-135.94900624066574,-154.9488341545884
479,1877-04-24,-126.94917832674308,-135.94900624066574
480,1877-04-25,-133.9493504128204,-126.94917832674308
481,1877-04-26,-122.94952249889772,-133.9493504128204
482,1877-04-27,-112.94969458497503,-122.94952249889772
483,1877-04-28,-73.94986667105238,-112.94969458497503
484,1877-04-29,-78.9500387571297,-73.94986667105238
485,1877-04-30,-78.95021084320703,-78.9500387571297
486,1877-05-01,-155.38690636678436,-78.95021084320703
487,1877-05-02,-175.3870784528617,-155.38690636678436
488,1877-05-03,-183.387250538939,-175.3870784528617
489,1877-05-04,-172.38742262501634,-183.387250538939
490,1877-05-05,-159.38759471109367,-172.38742262501634
491,1877-05-06,-160.387766797171,-159.38759471109367
492,1877-05-07,-138.38793888324832,-160.387766797171
493,1877-05-08,-125.38811096932564,-138.38793888324832
494,1877-05-09,-90.38828305540298,-125.38811096932564
495,1877-05-10,-90.3884551414803,-90.38828305540298
496,1877-05-11,-100.38862722755763,-90.3884551414803
497,1877-05-12,-76.38879931363496,-100.38862722755763
498,1877-05-13,-81.38897139971229,-76.38879931363496
499,1877-05-14,-83.38914348578962,-81.38897139971229
500,1877-05-15,-74.38931557186693,-83.38914348578962
501,1877-05-16,-91.38948765794426,-74.38931557186693
502,1877-05-17,-86.38965974402159,-91.38948765794426
503,1877-05-18,-75.38983183009891,-86.38965974402159
504,1877-05-19,-104.39000391617624,-75.38983183009891
505,1877-05-20,-159.39017600225355,-104.39000391617624
506,1877-05-21,-144.39034808833088,-159.39017600225355
507,1877-05-22,-140.3905201744082,-144.39034808833088
508,1877-05-23,-127.39069226048557,-140.3905201744082
509,1877-05-24,-134.39086434656286,-127.39069226048557
510,1877-05-25,-122.3910364326402,-134.39086434656286
511,1877-05-26,-104.39120851871752,-122.3910364326402
512,1877-05-27,-90.39138060479486,-104.39120851871752
513,1877-05-28,-45.39155269087219,-90.39138060479486
514,1877-05-29,-54.39172477694952,-45.39155269087219
515,1877-05-30,-67.39189686302684,-54.39172477694952
516,1877-05-31,-67.39206894910417,-67.39189686302684
517,1877-06-01,-82.1090379101815,-67.39206894910417
518,1877-06-02,-87.10920999625883,-82.1090379101815
